no,index,category,category_index,englishText,translation_slashed,translation_natural
238,[238],13_形容詞節２（関係副詞）,[13],“Heredity is the biological process by which features are passed on from parents to their offspring through the genes.” “But I don't look like Mom or Dad.” ,「遺伝とは生物学上の作用である／すなわちそれ（＝その作用）によって・特徴が受け渡される／親から／子へと／遺伝子を通じて」「しかし／僕は似ていない・ママにもパパにも」 ,「遺伝というのは遺伝子を通して特徴が親から子へと受け継がれる生物学的な作用のことです」「でも僕はパパにもママにも似てないよ」   
239,[239],13_形容詞節２（関係副詞）,[13],The vivid film is based on the autobiography of a merchant who lived through the reign of terror in which innumerable people were slaughtered. ,その鮮烈な映画は土台が置かれている／自叙伝に／ある商人の／すなわちその人は生きた／通り抜けて・統治期間を／恐怖の／すなわちそれ（＝統治期間）の中で・数え切れないほどの人々が殺戮されたが。 ,その鮮烈な映画は，無数の人々が殺りくされたその恐怖の統治を生き抜いたある商人の自叙伝を基にしたものであった。   
240,[240],13_形容詞節２（関係副詞）,[13],"The solar system, to which planets like Earth and Mars, asteroids, and comets belong, was formed approximately 4.5 billion years ago. ",太陽系は／すなわちそれに・惑星が／地球や火星のような／そして小惑星や彗星が／属しているのだが／形成された／およそ45億年前に。 ,地球や火星などの惑星，また小惑星や彗星が属する太陽系は約45億年前に形成された。   
241,[241],13_形容詞節２（関係副詞）,[13],"Notwithstanding her knee injury, the gymnast gave a perfect performance, for which the spectators rose to their feet and applauded loudly. ",かかわらず・彼女のひざのけがにも（かかわらず）／その体操選手は行った・完璧な演技を／そしてそのことに対して・観客達は立ち上がった／そして拍手をした／大きな音を立てて。 ,ひざを故障していたにもかかわらずその体操選手は完璧な演技を行い，そしてそのことに対して観客は立ち上がって盛大な拍手をした。   
242,[242],13_形容詞節２（関係副詞）,[13],"Now, that supervisor is being well mannered, but he might sexually harass women workers again, in which case he will be severely punished. ",現在／あの監督者は（一時的に）良く振る舞っている／しかし／彼は性的に困らせるかもしれない・女性労働者達を／再び／その場合には・彼は厳しく罰せられることになる。 ,あの監督者は今のところは行儀良く振る舞っていますが，また女性従業員にセクハラをする可能性があります。ただしその場合，彼には厳罰が待っていますが。   
243,[243],13_形容詞節２（関係副詞）,[13],"After graduating from a provincial college, I returned to the Big Apple, where I became acquainted with a bunch of outstanding yet eccentric artists. ",後に・卒業した（後に）・地方の大学を／私は戻ってきた／ビッグ・アップルへ／そしてそこで・私は知り合いになった・集団と／とても優れているが風変わりな芸術家達の。 ,地方の大学を卒業した後，私はビッグ・アップル（＝ニューヨーク市）に戻ってきた。そしてそこで非常に才能があるが風変わりな芸術家達と知り合った。   
244,[244],13_形容詞節２（関係副詞）,[13],"A teacher whose name I've forgotten would often say, “There will no doubt come a time when you'll regret not having studied more diligently in school.”  ",ある教師が／すなわちその名前を・私は今では忘れてしまったが／しばしば言っていたものだ／「間違いなくやって来る・時が／すなわちその時に・君達が後悔する・（過去に）勉強しなかったことを／もっと勤勉に／在学中に」 ,名前は忘れましたが昔ある先生が「学生時代にもっとまじめに勉強しておけば良かったと後悔する日が必ず来る」とよく言っていました。   
245,[245],13_形容詞節２（関係副詞）,[13],"I'm new to Tokyo. Yesterday, when I was going to Shinjuku, I changed trains at Tokyo Station and, by mistake, got on one bound for Chiba. ",私は経験が浅い・東京に対し。昨日／すなわちその時・私は新宿に向かっていたのだが／私は換えた・電車を／東京駅で／そして／間違って／乗った・一つの電車に／千葉行きの。 ,私は東京に来てまだ日が浅いのですが，昨日新宿に行く時，東京駅で電車を乗り換え，間違って千葉行きに乗ってしまいました。   
246,[246],13_形容詞節２（関係副詞）,[13],"The weather forecaster added, “And this is the tenth day in a row that the maximum temperature has exceeded 35 degrees Celsius.” ",その天気予報士は付け加えた／「そして今日は10番目の日です／連続で／すなわちその時に・最高気温が今までに越えている・35度摂氏を」 ,天気予報士は「そして最高気温が35度を超えたのは今日で連続10日目です」と付け加えた。   
247,[247],13_形容詞節２（関係副詞）,[13],"“Now that I'm an adult, I don't want you to interfere in my affairs.  I don't want my life intruded on by anybody, for that matter.” ",「今／すなわちその時点で・私は大人であるが／私は望まない・あなたが・干渉することを／私の事柄に。私は望まない・私の生活が・侵害されるのを／誰によっても／さらに言えば」 ,「私はもう大人なんだから干渉しないでほしいのよ。さらに言えば，誰からもプライバシーを侵害されたくないの」   
